,State,County,Life Expectancy,Life Expectancy (AIAN),Life Expectancy (Asian),Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (white),# Deaths,Age-adjusted Death Rate,Age-Adjusted Mortality (AIAN),Age-Adjusted Mortality (Asian),Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (white),# Deaths.1,Child Mortality Rate,Child Mortality Rate (AIAN),Child Mortality Rate (Asian),Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (white),# Deaths.2,Infant Mortality Rate,Infant Mortality Rate (AIAN),Infant Mortality Rate (Asian),Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (white),% Frequent Physical Distress,% Frequent Mental Distress,% Adults with Diabetes,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access to Healthy Foods,# Drug Overdose Deaths,Drug Overdose Mortality Rate,Drug Overdose Mortality Rate (AIAN),Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (white),# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,MV Mortality Rate (AIAN),MV Mortality Rate (Asian),MV Mortality Rate (Black),MV Mortality Rate (Hispanic),MV Mortality Rate (white),% Insufficient Sleep,# Uninsured,% Uninsured,# Uninsured.1,% Uninsured.1,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Cohort Size,High School Graduation Rate,% Disconnected Youth,Average Grade Performance,Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (white),Average Grade Performance.1,Average Grade Performance (Asian).1,Average Grade Performance (Black).1,Average Grade Performance (Hispanic).1,Average Grade Performance (white).1,Segregation index,Spending per-pupil,School funding,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,Median Household Income,Household Income (AIAN),Household Income (Asian),Household Income (Black),Household Income (Hispanic),Household Income (white),% Enrolled in Free or Reduced Lunch,Segregation index.1,Segregation Index,% household income required for childcare expenses,# childcare centers,County Value,Homicide Rate,Homicide Rate (AIAN),Homicide Rate (Asian),Homicide Rate (Black),Homicide Rate (Hispanic),Homicide Rate (white),# Deaths.3,Suicide Rate (Age-Adjusted),Crude Rate,Suicide Rate (AIAN),Suicide Rate (Asian),Suicide Rate (Black),Suicide Rate (Hispanic),Suicide Rate (white),# Firearm Fatalities,Firearm Fatalities Rate,Firearm Fatalities Rate (AIAN),Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (white),Petitioned Cases,Juvenile Arrest Rate,Traffic Volume,# Homeowners,% Homeowners,# Households with Severe Cost Burden,% Severe Housing Cost Burden,% Broadband Access,Population,% Less Than 18 Years of Age,% 65 and Over,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic white,% Non-Hispanic white,# Not Proficient in English,% Not Proficient in English,% female,# rural residents,% rural
10,Alabama,Cherokee,74.0,0.0,0.0,0.0,0.0,0.0,600.0,543.0,0.0,0.0,570.0,0.0,550.0,13.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,11.0,27.0,119.0,4170.0,16.0,1302.0,5.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,58.0,32.0,0.0,0.0,0.0,0.0,0.0,38.0,2409.0,16.0,190.0,4.0,76.0,1315:1,295.0,92.0,0.0,2.8,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.07,10804.0,521.0,35190.0,45486.0,0.77,50388.0,0.0,0.0,0.0,34183.0,43567.0,61.0,42.0,41.0,17.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,33.0,25.0,0.0,0.0,0.0,0.0,0.0,30,15.0,1.0,8477.0,78.0,649.0,7.0,75.0,26294.0,18.5,24.3,1081.0,4.1,186.0,0.7,124.0,0.5,8.0,0.0,482.0,1.8,24046.0,91.5,275.0,1.0,50.4,22282.0,85.7
11,Alabama,Chilton,74.4,0.0,0.0,73.4,0.0,74.1,848.0,527.0,0.0,0.0,551.0,0.0,543.0,19.0,45.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,12.0,50.0,136.0,7590.0,17.0,1907.0,4.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,78.0,25.0,0.0,0.0,0.0,0.0,0.0,39.0,4575.0,18.0,466.0,4.0,27.0,3700:1,517.0,88.0,0.0,2.8,0.0,2.4,2.6,3.0,2.7,0.0,2.1,2.7,2.8,0.07,8791.0,-2372.0,36602.0,46000.0,0.8,52693.0,78253.0,0.0,33000.0,50395.0,54112.0,65.0,35.0,37.0,22.0,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,31.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,33.0,15.0,0.0,0.0,0.0,0.0,0.0,40,0.0,42.0,12878.0,75.0,1679.0,10.0,75.0,44397.0,23.8,17.5,4405.0,9.9,255.0,0.6,213.0,0.5,77.0,0.2,3524.0,7.9,35584.0,80.1,719.0,2.0,51.0,37858.0,86.7
14,Alabama,Clay,72.9,0.0,0.0,70.1,0.0,72.9,285.0,573.0,0.0,0.0,716.0,0.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,13.0,21.0,185.0,2200.0,17.0,414.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,0.0,0.0,0.0,0.0,0.0,39.0,1371.0,18.0,123.0,4.0,46.0,2185:1,142.0,88.0,0.0,2.8,0.0,2.1,0.0,3.0,2.5,0.0,2.0,0.0,2.6,0.01,9441.0,-4732.0,34508.0,44257.0,0.78,44763.0,0.0,0.0,29281.0,30197.0,44234.0,65.0,24.0,24.0,21.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,8,7.0,0.0,3947.0,77.0,326.0,7.0,72.0,13112.0,20.3,21.4,1776.0,13.5,73.0,0.6,39.0,0.3,0.0,0.0,411.0,3.1,10565.0,80.6,9.0,0.0,51.3,13932.0,100.0
16,Alabama,Coffee,75.3,0.0,0.0,72.3,87.4,75.1,895.0,475.0,0.0,0.0,625.0,0.0,477.0,24.0,49.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,12.0,76.0,175.0,8130.0,16.0,4491.0,9.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,67.0,18.0,0.0,0.0,15.0,0.0,19.0,37.0,5167.0,17.0,488.0,4.0,75.0,1331:1,691.0,95.0,9.0,3.0,0.0,2.5,2.6,3.3,2.9,0.0,2.3,2.6,3.1,0.08,9986.0,-2618.0,34961.0,52013.0,0.67,54203.0,44231.0,105853.0,37602.0,39979.0,62729.0,48.0,41.0,33.0,17.0,16.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,39.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,53.0,20.0,0.0,0.0,0.0,0.0,0.0,69,17.0,109.0,13527.0,68.0,1922.0,10.0,83.0,53230.0,23.4,17.6,9058.0,17.0,747.0,1.4,892.0,1.7,220.0,0.4,4423.0,8.3,36768.0,69.1,555.0,1.0,50.7,23573.0,47.2
20,Alabama,Covington,72.9,0.0,0.0,68.8,0.0,73.3,899.0,615.0,0.0,0.0,873.0,0.0,592.0,26.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,12.0,49.0,157.0,6730.0,18.0,2070.0,5.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,66.0,25.0,0.0,0.0,0.0,0.0,0.0,38.0,3323.0,16.0,306.0,4.0,95.0,1055:1,380.0,96.0,6.0,2.9,0.0,2.5,0.0,3.1,2.7,0.0,2.1,0.0,2.8,0.09,9790.0,-5217.0,32974.0,43678.0,0.75,43544.0,30219.0,0.0,24655.0,41600.0,47319.0,56.0,42.0,36.0,27.0,13.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,42.0,23.0,0.0,0.0,0.0,0.0,0.0,47,0.0,52.0,11137.0,74.0,1379.0,10.0,75.0,36930.0,21.9,21.9,4620.0,12.5,277.0,0.8,188.0,0.5,4.0,0.0,707.0,1.9,30607.0,82.9,51.0,0.0,51.7,26304.0,69.7
21,Alabama,Crenshaw,72.6,0.0,0.0,73.2,0.0,72.0,337.0,621.0,0.0,0.0,654.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,13.0,20.0,173.0,2150.0,16.0,1878.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,39.0,1338.0,17.0,146.0,5.0,88.0,1140:1,163.0,93.0,0.0,2.8,0.0,2.6,0.0,2.9,2.6,0.0,2.4,0.0,2.6,0.03,9334.0,-5804.0,31261.0,41608.0,0.75,45927.0,0.0,0.0,23698.0,0.0,48923.0,64.0,16.0,14.0,21.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,25,17.0,53.0,3842.0,77.0,437.0,9.0,67.0,13681.0,22.6,19.9,3246.0,23.7,93.0,0.7,163.0,1.2,6.0,0.0,330.0,2.4,9586.0,70.1,56.0,0.0,51.4,13906.0,100.0
23,Alabama,Dale,74.9,0.0,0.0,73.4,88.6,74.5,873.0,503.0,0.0,0.0,581.0,0.0,514.0,28.0,62.0,0.0,0.0,0.0,0.0,0.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,13.0,132.0,322.0,8790.0,18.0,4420.0,9.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,73.0,21.0,0.0,0.0,19.0,0.0,21.0,41.0,4446.0,15.0,368.0,3.0,74.0,1360:1,500.0,96.0,12.0,2.9,0.0,2.4,2.5,3.2,2.7,0.0,2.4,2.3,3.0,0.1,9703.0,-6169.0,30870.0,44168.0,0.7,48493.0,43409.0,0.0,30653.0,52903.0,50365.0,62.0,32.0,30.0,19.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,50.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0,55.0,22.0,0.0,0.0,0.0,0.0,0.0,46,10.0,76.0,11380.0,59.0,2173.0,12.0,81.0,48959.0,22.8,17.8,9995.0,20.4,430.0,0.9,706.0,1.4,88.0,0.2,3396.0,6.9,33271.0,68.0,390.0,1.0,51.0,25572.0,50.9
31,Alabama,Geneva,72.6,0.0,0.0,70.5,0.0,72.3,601.0,593.0,0.0,0.0,753.0,0.0,599.0,17.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,12.0,40.0,180.0,5230.0,20.0,1035.0,4.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,51.0,27.0,0.0,0.0,0.0,0.0,0.0,38.0,2818.0,19.0,212.0,4.0,23.0,4402:1,297.0,96.0,15.0,3.1,0.0,2.8,2.9,3.1,2.9,0.0,2.6,2.4,3.0,0.04,9687.0,-4581.0,37824.0,42316.0,0.89,39882.0,0.0,0.0,27634.0,0.0,42308.0,58.0,20.0,16.0,24.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,57,0.0,1.0,7955.0,75.0,1178.0,12.0,71.0,26411.0,21.7,21.2,2405.0,9.1,304.0,1.2,105.0,0.4,22.0,0.1,1144.0,4.3,21966.0,83.2,118.0,0.0,51.3,24015.0,89.6
34,Alabama,Henry,75.5,0.0,0.0,72.5,0.0,76.3,343.0,482.0,0.0,0.0,630.0,0.0,444.0,11.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,13.0,38.0,257.0,2490.0,15.0,1392.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,40.0,1498.0,16.0,146.0,4.0,23.0,4306:1,154.0,98.0,0.0,2.8,0.0,2.6,0.0,2.9,2.7,0.0,2.4,0.0,2.9,0.09,9270.0,-5141.0,36134.0,46433.0,0.78,51126.0,0.0,0.0,27799.0,43681.0,60095.0,55.0,30.0,30.0,18.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,33,27.0,22.0,5471.0,83.0,598.0,9.0,78.0,17223.0,20.4,23.6,4326.0,25.1,80.0,0.5,84.0,0.5,3.0,0.0,464.0,2.7,12028.0,69.8,33.0,0.0,52.0,15183.0,87.8
36,Alabama,Jackson,73.3,0.0,0.0,73.7,0.0,72.9,1226.0,590.0,0.0,0.0,651.0,0.0,607.0,22.0,51.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,12.0,39.0,88.0,9390.0,18.0,2859.0,5.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,109.0,30.0,0.0,0.0,0.0,0.0,0.0,40.0,5254.0,17.0,374.0,3.0,76.0,1323:1,559.0,92.0,8.0,3.1,0.0,2.6,2.7,3.1,2.7,0.0,2.4,2.7,2.7,0.11,10268.0,1096.0,31813.0,45859.0,0.69,46606.0,33235.0,31250.0,34722.0,0.0,43307.0,58.0,51.0,23.0,18.0,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,60.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,61.0,24.0,0.0,0.0,0.0,0.0,0.0,42,0.0,50.0,15731.0,77.0,1567.0,8.0,75.0,51582.0,20.6,21.1,1683.0,3.3,837.0,1.6,299.0,0.6,67.0,0.1,1606.0,3.1,45944.0,89.1,235.0,0.0,50.9,40994.0,77.0
39,Alabama,Lauderdale,75.9,0.0,0.0,71.3,97.0,76.3,1624.0,458.0,0.0,0.0,677.0,0.0,442.0,32.0,44.0,0.0,0.0,0.0,0.0,0.0,43.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,11.0,97.0,121.0,14340.0,16.0,5999.0,6.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,138.0,21.0,0.0,0.0,19.0,0.0,22.0,38.0,7991.0,15.0,648.0,3.0,102.0,983:1,922.0,94.0,0.0,3.1,0.0,2.6,2.9,3.3,3.0,0.0,2.6,3.3,3.1,0.2,11103.0,616.0,35554.0,48283.0,0.74,52293.0,0.0,0.0,27944.0,45674.0,52170.0,46.0,50.0,42.0,25.0,22.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,74.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,71.0,15.0,0.0,0.0,0.0,0.0,0.0,158,19.0,162.0,26209.0,68.0,4194.0,11.0,77.0,93368.0,19.5,20.9,9192.0,9.8,420.0,0.4,853.0,0.9,72.0,0.1,2765.0,3.0,78714.0,84.3,507.0,1.0,52.1,45701.0,49.3
56,Alabama,Randolph,73.9,0.0,0.0,71.4,0.0,74.1,486.0,543.0,0.0,0.0,672.0,0.0,529.0,17.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,12.0,16.0,83.0,3520.0,16.0,3021.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,31.0,0.0,0.0,0.0,0.0,0.0,38.0,2017.0,16.0,164.0,3.0,83.0,1206:1,285.0,95.0,0.0,2.8,0.0,2.4,0.0,2.9,2.6,0.0,2.2,0.0,2.8,0.1,9688.0,-5857.0,33428.0,45403.0,0.74,46679.0,0.0,0.0,32835.0,15060.0,50995.0,65.0,38.0,35.0,20.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,28.0,25.0,0.0,0.0,0.0,0.0,0.0,38,17.0,22.0,6856.0,79.0,817.0,10.0,76.0,22920.0,20.9,21.3,4318.0,18.8,113.0,0.5,109.0,0.5,24.0,0.1,680.0,3.0,17359.0,75.7,48.0,0.0,51.5,18638.0,81.3
58,Alabama,St. Clair,74.7,0.0,0.0,74.2,0.0,74.5,1647.0,496.0,0.0,0.0,482.0,0.0,509.0,43.0,53.0,0.0,0.0,0.0,0.0,0.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,11.0,120.0,160.0,12680.0,14.0,1984.0,2.0,76.0,28.0,0.0,0.0,0.0,0.0,0.0,130.0,21.0,0.0,0.0,18.0,0.0,22.0,37.0,6927.0,13.0,595.0,3.0,62.0,1620:1,878.0,93.0,7.0,3.0,0.0,2.7,2.7,3.1,2.9,0.0,2.6,2.8,2.9,0.05,9108.0,499.0,40854.0,54422.0,0.75,61973.0,62857.0,50430.0,40677.0,54044.0,65133.0,43.0,35.0,26.0,19.0,20.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,79.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,74.0,17.0,0.0,0.0,0.0,0.0,0.0,132,14.0,78.0,26355.0,80.0,2733.0,9.0,82.0,90739.0,22.3,17.5,8843.0,9.7,383.0,0.4,861.0,0.9,76.0,0.1,2275.0,2.5,77080.0,84.9,285.0,0.0,50.6,60853.0,72.8
67,Alabama,Winston,74.8,0.0,0.0,0.0,0.0,0.0,512.0,531.0,0.0,0.0,0.0,0.0,0.0,14.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,12.0,10.0,49.0,4460.0,19.0,415.0,2.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,51.0,31.0,0.0,0.0,0.0,0.0,0.0,39.0,2224.0,16.0,184.0,4.0,55.0,1808:1,331.0,93.0,0.0,2.8,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.12,10554.0,-1305.0,33254.0,40648.0,0.82,46453.0,21917.0,0.0,0.0,28319.0,42331.0,54.0,84.0,33.0,28.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,7,9.0,18.0,7720.0,80.0,810.0,9.0,71.0,23508.0,20.0,22.6,208.0,0.9,201.0,0.9,85.0,0.4,47.0,0.2,787.0,3.3,21939.0,93.3,191.0,1.0,50.9,20785.0,84.9
119,Arkansas,Boone,76.1,0.0,0.0,0.0,0.0,0.0,647.0,456.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,10.0,24.0,77.0,6000.0,16.0,3259.0,9.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,47.0,18.0,0.0,0.0,0.0,0.0,0.0,35.0,2482.0,12.0,475.0,5.0,106.0,941:1,432.0,91.0,15.0,3.3,0.0,0.0,3.0,3.3,3.2,0.0,0.0,2.9,3.2,0.06,9971.0,-1491.0,35671.0,41003.0,0.87,48153.0,0.0,0.0,0.0,48958.0,46387.0,58.0,0.0,40.0,26.0,17.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,45.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,14,4.0,93.0,10835.0,72.0,1088.0,8.0,83.0,37625.0,22.4,21.5,170.0,0.5,355.0,0.9,244.0,0.6,29.0,0.1,1024.0,2.7,35175.0,93.5,100.0,0.0,50.7,22953.0,62.2
124,Arkansas,Clark,75.3,0.0,0.0,74.6,0.0,75.5,367.0,507.0,0.0,0.0,568.0,0.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,12.0,29.0,151.0,3800.0,17.0,2462.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,21.0,0.0,0.0,0.0,0.0,0.0,36.0,1259.0,11.0,231.0,5.0,90.0,1105:1,186.0,83.0,0.0,2.4,0.0,2.1,0.0,2.7,2.2,0.0,1.8,0.0,2.6,0.03,10725.0,-4883.0,37048.0,40925.0,0.91,46464.0,70795.0,0.0,24071.0,48167.0,46598.0,62.0,26.0,24.0,21.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,145.0,4920.0,59.0,1140.0,14.0,71.0,22103.0,18.9,17.1,5288.0,23.9,138.0,0.6,155.0,0.7,99.0,0.4,1087.0,4.9,15063.0,68.1,217.0,1.0,52.3,12504.0,54.4
126,Arkansas,Cleburne,75.2,0.0,0.0,0.0,0.0,0.0,509.0,491.0,0.0,0.0,0.0,0.0,0.0,19.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,10.0,24.0,111.0,4100.0,16.0,1719.0,7.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,46.0,26.0,0.0,0.0,0.0,0.0,0.0,34.0,1645.0,12.0,275.0,6.0,76.0,1312:1,267.0,92.0,0.0,3.2,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.04,11338.0,-1528.0,31158.0,39791.0,0.78,49964.0,46115.0,0.0,0.0,37557.0,46344.0,63.0,62.0,37.0,22.0,10.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,26.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0,8504.0,78.0,713.0,7.0,79.0,24935.0,18.5,27.8,112.0,0.4,199.0,0.8,118.0,0.5,10.0,0.0,621.0,2.5,23541.0,94.4,8.0,0.0,50.8,19613.0,75.5
127,Arkansas,Cleveland,75.1,0.0,0.0,0.0,0.0,0.0,165.0,498.0,0.0,0.0,639.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,12.0,9.0,133.0,1370.0,17.0,662.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,33.0,0.0,0.0,0.0,0.0,0.0,36.0,460.0,10.0,99.0,6.0,63.0,1591:1,116.0,96.0,0.0,2.8,0.0,2.4,0.0,2.9,2.5,0.0,2.0,0.0,2.7,0.11,9540.0,-3355.0,42563.0,50000.0,0.85,57697.0,0.0,0.0,21033.0,0.0,49660.0,60.0,18.0,14.0,17.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,11.0,7.0,2470.0,78.0,160.0,5.0,65.0,7957.0,21.4,21.6,887.0,11.1,45.0,0.6,14.0,0.2,3.0,0.0,227.0,2.9,6681.0,84.0,0.0,0.0,50.9,8689.0,100.0
131,Arkansas,Crawford,76.4,0.0,0.0,0.0,0.0,0.0,1042.0,453.0,0.0,0.0,0.0,209.0,478.0,31.0,50.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,11.0,58.0,111.0,10370.0,17.0,8168.0,13.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,64.0,15.0,0.0,0.0,0.0,0.0,0.0,35.0,4962.0,13.0,925.0,6.0,27.0,3730:1,871.0,91.0,13.0,2.8,0.0,2.6,2.8,2.8,2.7,0.0,2.2,2.6,2.7,0.08,10230.0,-1673.0,34710.0,47913.0,0.72,54534.0,30476.0,101196.0,23772.0,43370.0,50279.0,64.0,75.0,38.0,22.0,21.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,70.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,45.0,14.0,0.0,0.0,0.0,0.0,0.0,100,14.0,166.0,18205.0,76.0,1950.0,8.0,77.0,63409.0,24.1,17.7,944.0,1.5,1680.0,2.6,1010.0,1.6,40.0,0.1,5325.0,8.4,52809.0,83.3,664.0,1.0,50.9,32189.0,52.0
133,Arkansas,Cross,72.1,0.0,0.0,73.2,0.0,71.8,383.0,634.0,0.0,0.0,633.0,0.0,644.0,13.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,12.0,33.0,241.0,2780.0,17.0,2600.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,29.0,0.0,0.0,0.0,0.0,0.0,37.0,1078.0,12.0,207.0,5.0,81.0,1242:1,244.0,95.0,0.0,2.9,0.0,2.5,0.0,3.1,2.9,0.0,2.4,0.0,3.1,0.05,10709.0,-4418.0,33924.0,41571.0,0.82,40587.0,0.0,0.0,33575.0,29030.0,51250.0,68.0,59.0,46.0,34.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,29,17.0,109.0,4363.0,66.0,521.0,9.0,76.0,16142.0,23.4,19.2,3764.0,23.3,77.0,0.5,122.0,0.8,9.0,0.1,355.0,2.2,11583.0,71.8,94.0,1.0,51.3,10148.0,56.8
142,Arkansas,Greene,75.1,0.0,0.0,0.0,0.0,0.0,804.0,503.0,0.0,0.0,0.0,0.0,0.0,23.0,52.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,10.0,38.0,101.0,8050.0,18.0,2799.0,7.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,69.0,22.0,0.0,0.0,0.0,0.0,0.0,34.0,2788.0,10.0,508.0,4.0,96.0,1036:1,500.0,93.0,8.0,2.7,0.0,2.0,2.6,2.8,2.6,0.0,2.3,2.4,2.6,0.06,9049.0,-625.0,36741.0,44334.0,0.83,53821.0,32500.0,0.0,0.0,33869.0,51101.0,72.0,69.0,44.0,20.0,23.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,57.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,46.0,20.0,0.0,0.0,0.0,0.0,0.0,37,7.0,112.0,11771.0,67.0,1795.0,11.0,81.0,45597.0,24.1,16.6,857.0,1.9,237.0,0.5,207.0,0.5,190.0,0.4,1385.0,3.0,42169.0,92.5,107.0,0.0,50.8,17470.0,41.5
